seller_rank,orders,units,item_revenue,freight,average_review,late_rate,freight_burden
1,1132,1156,229472.63,20168.07,4.122822299651568,0.11505190311418685,0.08788878220465769
2,358,410,222776.05,13080.63,4.075980392156863,0.03902439024390244,0.05871650027011431
3,1806,1987,200472.92,35067.04,3.803261977573904,0.10770005032712632,0.17492158043091305
4,585,586,194042.03,10042.7,4.34020618556701,0.10068259385665529,0.05175528209017397
5,982,1364,187923.89,51612.55,3.3414454277286136,0.09530791788856305,0.27464602824047546
6,336,340,176431.87,6322.18,4.206489675516224,0.052941176470588235,0.0358335486666893
7,1314,1551,160236.57,24955.75,4.063754045307443,0.07285622179239201,0.15574316150177203
8,1160,1171,141745.53,20902.85,4.234509466437177,0.05807002561912895,0.14746743689201344
9,915,1428,138968.55,33892.14,3.853107344632768,0.09173669467787114,0.24388352616473297
10,1287,1499,135171.7,25430.98,4.050437121721587,0.07938625750500333,0.18813834552646744
11,521,542,128111.19,11798.5,4.181308411214953,0.06088560885608856,0.09209578023590288
12,1854,2033,123304.83,27960.94,3.908142999006951,0.06099360550909985,0.2267627310300821
13,740,798,114774.5,14135.21,4.214285714285714,0.09273182957393483,0.12315636312944077
14,565,578,113628.97,8632.05,4.001742160278746,0.11764705882352941,0.07596698271576341
15,325,346,112155.53,13661.39,3.991228070175439,0.057803468208092484,0.1218075470732473
16,1404,1931,106939.20999999999,35165.770000000004,3.987259490379615,0.09425168306576903,0.3288388795840179
17,1706,1775,104288.42,25668.99,4.066402565553669,0.05802816901408451,0.24613461398686454
18,718,770,101901.16,31844.09,4.189048239895698,0.05454545454545454,0.31249977919780303
19,1080,1147,94914.2,22433.51,4.113656387665198,0.05841325196163906,0.23635567702198407
20,166,175,79284.55,3905.1,4.434285714285714,0.07428571428571429,0.04925423679645025
21,187,192,74004.62,5256.98,4.282722513089006,0.07291666666666667,0.07103583533028072
22,219,230,68395.0,4341.01,4.2043478260869565,0.16521739130434782,0.06346969807734484
23,294,306,65959.61,4721.34,4.3841059602649,0.08496732026143791,0.07157925888282238
24,387,435,64925.3,9659.0,4.225806451612903,0.09655172413793103,0.14877097217879623
25,712,830,64009.89,14371.4,3.850985221674877,0.05301204819277108,0.22451842988638163
26,94,94,60130.6,3054.39,3.882978723404255,0.11702127659574468,0.0507959341832611
27,174,180,57168.49,4661.32,3.897727272727273,0.1,0.08153652475340874
28,255,268,56363.24,5239.96,4.139097744360902,0.07835820895522388,0.09296768603082435
29,334,343,55578.57,7946.72,3.9073529411764705,0.08163265306122448,0.1429817283891975
